date,action,price,quantity,pnl,commission,slippage
2025-04-28 12:15:00+05:30,BUY,24327.65,3,,,
2025-04-28 14:35:00+05:30,SELL,24281.55,3,-211.14465000001655,,
2025-04-29 09:20:00+05:30,BUY,24453.7,3,,,
2025-04-29 09:40:00+05:30,SELL,24316.6,3,-484.2498000000196,,
2025-04-30 09:20:00+05:30,SHORT,24308.05,3,,,
2025-04-30 09:40:00+05:30,COVER,24348.5,3,-121.35000000000218,,
2025-04-30 15:05:00+05:30,BUY,24379.75,3,,,
2025-04-30 15:25:00+05:30,SELL,24246.25,3,-473.2387500000041,,
2025-05-02 09:30:00+05:30,BUY,24525.0,3,,,
2025-05-02 10:50:00+05:30,SELL,24427.4,3,-366.0821999999898,,
2025-05-02 12:25:00+05:30,SHORT,24242.75,3,,,
2025-05-02 12:45:00+05:30,COVER,24295.85,3,-159.29999999999563,,
2025-05-07 10:05:00+05:30,SHORT,24304.95,3,,,
2025-05-07 10:30:00+05:30,COVER,24372.85,3,-203.69999999999345,,
2025-05-08 13:35:00+05:30,SHORT,24341.45,3,,,
2025-05-08 14:50:00+05:30,COVER,24263.05,3,235.20000000000437,,
2025-05-08 15:20:00+05:30,SHORT,24213.75,3,,,
2025-05-09 09:25:00+05:30,COVER,24080.8,3,398.8500000000022,,
2025-05-09 13:20:00+05:30,SHORT,23977.95,3,,,
2025-05-09 14:20:00+05:30,COVER,23978.0,3,-0.1499999999978172,,
2025-05-12 09:15:00+05:30,BUY,24561.4,3,,,
2025-05-12 09:55:00+05:30,SELL,24725.0,3,416.62499999998545,,
2025-05-12 11:25:00+05:30,BUY,24733.3,3,,,
2025-05-12 12:35:00+05:30,SELL,24803.25,3,135.44024999999965,,
2025-05-12 14:15:00+05:30,BUY,24887.0,3,,,
2025-05-13 09:20:00+05:30,SELL,24782.5,3,-387.8475000000035,,
2025-05-13 12:55:00+05:30,SHORT,24604.6,3,,,
2025-05-14 09:15:00+05:30,COVER,24663.05,3,-175.35000000000218,,
2025-05-14 12:45:00+05:30,SHORT,24602.8,3,,,
2025-05-14 13:25:00+05:30,COVER,24644.95,3,-126.45000000000437,,
2025-05-14 14:30:00+05:30,SHORT,24586.15,3,,,
2025-05-14 14:50:00+05:30,COVER,24632.95,3,-140.39999999999782,,
2025-05-15 09:35:00+05:30,SHORT,24564.05,3,,,
2025-05-15 10:30:00+05:30,COVER,24622.15,3,-174.30000000000655,,
2025-05-15 10:55:00+05:30,BUY,24780.3,3,,,
2025-05-15 11:15:00+05:30,SELL,24654.6,3,-451.06380000000354,,
2025-05-15 13:00:00+05:30,BUY,24734.65,3,,,
2025-05-15 13:20:00+05:30,SELL,24880.05,3,361.559849999976,,
2025-05-19 14:00:00+05:30,SHORT,24949.5,3,,,
2025-05-20 09:50:00+05:30,COVER,24873.7,3,227.39999999999782,,
2025-05-20 12:55:00+05:30,SHORT,24792.5,3,,,
2025-05-20 14:05:00+05:30,COVER,24735.5,3,171.0,,
2025-05-20 14:25:00+05:30,SHORT,24704.1,3,,,
2025-05-21 09:30:00+05:30,COVER,24771.75,3,-202.95000000000437,,
2025-05-21 12:15:00+05:30,SHORT,24713.25,3,,,
2025-05-21 12:35:00+05:30,COVER,24795.7,3,-247.35000000000218,,
