date,action,price,quantity,pnl
2025-04-24 10:45:00+05:30,SELL,24278.1,100,-2410.0000000002183
2025-04-25 09:20:00+05:30,BUY,24303.6,100,
2025-04-25 09:50:00+05:30,SELL,24127.4,100,-17619.99999999971
2025-04-25 13:50:00+05:30,BUY,24120.1,100,
2025-04-28 09:15:00+05:30,SELL,24131.55,100,1145.0000000000728
2025-04-28 09:15:00+05:30,BUY,24131.55,100,
2025-04-28 14:40:00+05:30,SELL,24273.65,100,14210.000000000218
2025-04-28 15:15:00+05:30,BUY,24335.8,100,
2025-04-29 10:35:00+05:30,SELL,24331.5,100,-429.99999999992724
2025-04-29 11:05:00+05:30,BUY,24367.1,100,
2025-04-29 11:55:00+05:30,SELL,24313.25,100,-5384.9999999998545
2025-04-29 12:55:00+05:30,BUY,24358.95,100,
2025-04-29 15:00:00+05:30,SELL,24331.4,100,-2754.9999999999272
2025-04-30 09:45:00+05:30,BUY,24381.55,100,
2025-04-30 10:35:00+05:30,SELL,24308.15,100,-7339.999999999782
2025-04-30 12:30:00+05:30,BUY,24359.85,100,
2025-04-30 13:15:00+05:30,SELL,24331.9,100,-2794.999999999709
2025-04-30 13:45:00+05:30,BUY,24346.6,100,
2025-04-30 13:55:00+05:30,SELL,24347.1,100,50.0
2025-04-30 13:55:00+05:30,BUY,24347.1,100,
2025-04-30 14:10:00+05:30,SELL,24340.65,100,-644.999999999709
2025-04-30 14:50:00+05:30,BUY,24376.7,100,
2025-04-30 15:25:00+05:30,SELL,24246.25,100,-13045.000000000073
2025-05-02 09:20:00+05:30,BUY,24403.65,100,
2025-05-02 11:20:00+05:30,SELL,24373.1,100,-3055.000000000291
2025-05-05 09:20:00+05:30,BUY,24447.05,100,
2025-05-05 12:00:00+05:30,SELL,24449.6,100,254.99999999992724
2025-05-05 12:50:00+05:30,BUY,24469.75,100,
2025-05-05 13:20:00+05:30,SELL,24456.45,100,-1329.9999999999272
2025-05-05 13:20:00+05:30,BUY,24456.45,100,
2025-05-05 13:30:00+05:30,SELL,24467.75,100,1129.9999999999272
2025-05-05 13:30:00+05:30,BUY,24467.75,100,
2025-05-05 15:15:00+05:30,SELL,24470.4,100,265.0000000001455
2025-05-05 15:20:00+05:30,BUY,24473.45,100,
2025-05-06 09:15:00+05:30,SELL,24455.85,100,-1760.0000000002183
2025-05-07 11:35:00+05:30,BUY,24413.55,100,
2025-05-07 13:15:00+05:30,SELL,24365.2,100,-4834.9999999998545
2025-05-07 14:10:00+05:30,BUY,24406.9,100,
2025-05-08 09:55:00+05:30,SELL,24380.3,100,-2660.0000000002183
2025-05-08 10:20:00+05:30,BUY,24405.7,100,
2025-05-08 12:55:00+05:30,SELL,24400.1,100,-560.0000000002183
2025-05-12 09:15:00+05:30,BUY,24561.4,100,
2025-05-13 09:35:00+05:30,SELL,24834.7,100,27329.999999999927
2025-05-14 09:50:00+05:30,BUY,24706.15,100,
2025-05-14 11:50:00+05:30,SELL,24641.05,100,-6510.000000000218
2025-05-15 10:50:00+05:30,BUY,24704.65,100,
2025-05-16 10:45:00+05:30,SELL,24996.35,100,29169.99999999971
2025-05-16 12:40:00+05:30,BUY,25001.55,100,
2025-05-19 11:45:00+05:30,SELL,24999.9,100,-164.99999999978172
2025-05-21 10:15:00+05:30,BUY,24892.8,100,
2025-05-21 12:05:00+05:30,SELL,24778.55,100,-11425.0
2025-05-21 15:15:00+05:30,BUY,24811.45,100,
